Date,Predicted_Close,Pct_vs_last
2026-03-10,1405.61,0.44
2026-03-11,1406.21,0.48
2026-03-12,1406.91,0.53
2026-03-13,1407.59,0.58
2026-03-16,1408.22,0.62
2026-03-17,1408.8,0.66
2026-03-18,1409.27,0.7
2026-03-19,1409.7,0.73
2026-03-20,1410.07,0.76
2026-03-23,1410.43,0.78
2026-03-24,1410.66,0.8
2026-03-25,1410.93,0.82
2026-03-26,1411.19,0.84
2026-03-27,1411.55,0.86
2026-03-30,1411.77,0.88
2026-03-31,1411.77,0.88
2026-04-01,1411.87,0.88
2026-04-02,1411.85,0.88
2026-04-03,1411.89,0.89
2026-04-06,1412.02,0.89
2026-04-07,1411.98,0.89
2026-04-08,1411.98,0.89
2026-04-09,1412.0,0.89
2026-04-10,1412.02,0.89
2026-04-13,1412.24,0.91
2026-04-14,1412.43,0.92
2026-04-15,1412.66,0.94
2026-04-16,1412.78,0.95
2026-04-17,1413.04,0.97
2026-04-20,1414.59,1.08
